RRC,NONE,NONE,NONE,NONE,NONE,NONE,RRC_AND_PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
JMP,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_PC,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
PUSH,NONE,NONE,NONE,NONE,NONE,NONE,SP_MINUS_2,NONE,NONE,0,NONE
,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,WRITE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
POP,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,READ,SP_PLUS_2,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
CALL,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_T,NONE,NONE,NONE,NONE,0,NONE
,PD_PC_SBUS,NONE,SBUS,PD_ALU,PM_MDR,NONE,SP_MINUS_2,NONE,NONE,0,NONE
,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,NONE,NONE,NONE,NONE,0,NONE
,PD_T,NONE,SBUS,PD_ALU,PM_PC,WRITE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
BR,PD_IR_OFFSET,PD_PC_DBUS,SUM,PD_ALU,PM_PC,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
BNE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_Z,NONE,1,BR
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,NOP
BEQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_Z,NONE,0,BR
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,NOP
BPL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_S,NONE,1,BR
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,NOP
BMI,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_S,NONE,0,BR
